Symbol Name, Text, Height, Width, X1, Y1, X2, Y2, Radius
"Line","","-1","-1","2759","735","2852","735","-1"
"Line","","-1","-1","1036","734","2020","734","-1"
"Line","","-1","-1","2028","732","2852","732","-1"
"Line","","-1","-1","964","2090","964","2256","-1"
"Line","","-1","-1","958","2087","958","2251","-1"
"Line","","-1","-1","2384","2078","2384","2251","-1"
"Line","","-1","-1","2378","2068","2378","2257","-1"
"Line","","-1","-1","2101","2068","2101","2254","-1"
"Line","","-1","-1","2095","2068","2095","2255","-1"
"Line","","-1","-1","2095","1998","2095","2058","-1"
"Line","","-1","-1","2101","1996","2101","2058","-1"
"Line","","-1","-1","1530","1924","1530","2009","-1"
"Line","","-1","-1","1524","1924","1524","2009","-1"
"Line","","-1","-1","958","1882","958","2055","-1"
"Line","","-1","-1","486","1881","486","2256","-1"
"Line","","-1","-1","492","1879","492","2255","-1"
"Line","","-1","-1","964","1878","964","2060","-1"
"Line","","-1","-1","2384","1826","2384","2052","-1"
"Line","","-1","-1","2378","1809","2378","2060","-1"
"Line","","-1","-1","486","1795","486","1869","-1"
"Line","","-1","-1","730","1643","730","1725","-1"
"Line","","-1","-1","724","1641","724","1727","-1"
"Line","","-1","-1","2047","1640","2047","1804","-1"
"Line","","-1","-1","2040","1640","2040","1805","-1"
"Line","","-1","-1","958","1594","958","1676","-1"
"Line","","-1","-1","586","1594","586","1770","-1"
"Line","","-1","-1","964","1590","964","1700","-1"
"Line","","-1","-1","580","1589","580","1774","-1"
"Line","","-1","-1","2047","1497","2047","1583","-1"
"Line","","-1","-1","2040","1497","2040","1583","-1"
"Line","","-1","-1","1530","1453","1530","1821","-1"
"Line","","-1","-1","1524","1453","1524","1820","-1"
"Line","","-1","-1","2384","1416","2384","1778","-1"
"Line","","-1","-1","958","1405","958","1486","-1"
"Line","","-1","-1","586","1405","586","1486","-1"
"Line","","-1","-1","2378","1403","2378","1774","-1"
"Line","","-1","-1","1901","1402","1901","1775","-1"
"Line","","-1","-1","1153","1402","1153","1773","-1"
"Line","","-1","-1","1146","1401","1146","1796","-1"
"Line","","-1","-1","1907","1399","1907","1770","-1"
"Line","","-1","-1","958","1310","958","1387","-1"
"Line","","-1","-1","586","1310","586","1386","-1"
"Line","","-1","-1","964","1307","964","1490","-1"
"Line","","-1","-1","580","1306","580","1491","-1"
"Line","","-1","-1","1153","1197","1153","1255","-1"
"Line","","-1","-1","1901","1196","1901","1253","-1"
"Line","","-1","-1","1146","1195","1146","1268","-1"
"Line","","-1","-1","1907","1193","1907","1252","-1"
"Line","","-1","-1","958","1121","958","1204","-1"
"Line","","-1","-1","964","1099","964","1207","-1"
"Line","","-1","-1","715","1076","715","1158","-1"
"Line","","-1","-1","709","1075","709","1159","-1"
"Line","","-1","-1","1907","1027","1907","1156","-1"
"Line","","-1","-1","586","1027","586","1205","-1"
"Line","","-1","-1","486","1026","486","1772","-1"
"Line","","-1","-1","580","1025","580","1208","-1"
"Line","","-1","-1","2378","1024","2378","1394","-1"
"Line","","-1","-1","1901","1022","1901","1161","-1"
"Line","","-1","-1","2384","1019","2384","1384","-1"
"Line","","-1","-1","492","1003","492","1794","-1"
"Line","","-1","-1","1153","1002","1153","1162","-1"
"Line","","-1","-1","1146","1001","1146","1163","-1"
"Line","","-1","-1","154","982","154","1820","-1"
"Line","","-1","-1","1530","981","1530","1111","-1"
"Line","","-1","-1","1524","981","1524","1111","-1"
"Line","","-1","-1","148","980","148","1820","-1"
"Line","","-1","-1","2740","796","2740","2005","-1"
"Line","","-1","-1","1663","793","1663","875","-1"
"Line","","-1","-1","1669","791","1669","876","-1"
"Line","","-1","-1","2747","790","2747","2010","-1"
